addr_full,city,country,brand,extras,lat,lon,opening_hours,name,phone,ref,postCode,state,website
200 Murray St,Perth,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-31.952569,115.859862,"{'Mon': '09:00-17:30', 'Tue': '09:00-17:30', 'Wed': '09:00-17:30', 'Thu': '09:00-17:30', 'Fri': '09:00-21:00', 'Sat': '09:00-17:00', 'Sun': '11:00-17:00'}",Forrest Chase,(08) 9202 1422,50065,6000,WA,https://www.lululemon.com.au/en-au/store-locator
9 Bayview Terrace,Claremont,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-31.982035,115.780766,"{'Mon': '09:00-17:30', 'Tue': '09:00-17:30', 'Wed': '09:00-17:30', 'Thu': '09:00-21:00', 'Fri': '09:00-17:30', 'Sat': '09:00-17:00', 'Sun': '11:00-17:00'}",Claremont,(08) 9384 9550,50106,6010,WA,https://www.lululemon.com.au/en-au/store-locator
125 Riseley Street,Booragoon,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-32.03424,115.836512,"{'Mon': '09:00-17:30', 'Tue': '09:00-17:30', 'Wed': '09:00-17:30', 'Thu': '09:00-21:00', 'Fri': '09:00-17:30', 'Sat': '09:00-17:00', 'Sun': '11:00-17:00'}",Booragoon,(08) 9316 1734,50091,6154,WA,https://www.lululemon.com.au/en-au/store-locator
200 Karrinyup Rd,Karrinyup,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-31.878155,115.779182,"{'Mon': '09:00-17:00', 'Tue': '09:00-17:30', 'Wed': '09:00-17:30', 'Thu': '09:00-21:00', 'Fri': '09:00-17:30', 'Sat': '09:00-17:00', 'Sun': '11:00-17:00'}",Karrinyup,(08) 9204 1144,50081,6018,WA,https://www.lululemon.com.au/en-au/store-locator
600 Kingsway,Miranda,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-34.035467,151.100631,"{'Mon': '09:30-18:00', 'Tue': '09:30-18:00', 'Wed': '09:30-18:00', 'Thu': '09:30-21:00', 'Fri': '09:30-18:00', 'Sat': '09:00-18:00', 'Sun': '10:00-18:00'}",Miranda,(02) 9524 8743,50113,2228,NSW,https://www.lululemon.com.au/en-au/store-locator
The Mill,Alexandria,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-33.911541,151.194007,"{'Mon': '09:00-17:00', 'Tue': '09:00-17:00', 'Wed': '09:00-17:00', 'Thu': '09:00-17:00', 'Fri': '09:00-17:00', 'Sat': '09:00-17:00', 'Sun': '09:00-17:00'}",Alexandria Outlet,(02) 9310 5661,50596,2015,NSW,https://www.lululemon.com.au/en-au/store-locator
500 Oxford St,Bondi Junction,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-33.891669,151.25027,"{'Mon': '09:30-18:00', 'Tue': '09:30-18:00', 'Wed': '09:30-18:00', 'Thu': '09:30-21:00', 'Fri': '09:30-19:00', 'Sat': '09:30-18:00', 'Sun': '10:00-18:00'}",Bondi Junction,(02) 9388 9893,50071,2022,NSW,https://www.lululemon.com.au/en-au/store-locator
Pitt St & Market St,Sydney,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-33.869755,151.208608,"{'Mon': '09:30-19:00', 'Tue': '09:30-19:00', 'Wed': '09:30-19:00', 'Thu': '09:30-21:00', 'Fri': '09:30-19:00', 'Sat': '09:30-19:00', 'Sun': '10:00-19:00'}",Westfield Sydney City,(02) 9221 9846,50110,2000,NSW,https://www.lululemon.com.au/en-au/store-locator
301 George St,Sydney,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-33.865725,151.207014,"{'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-19:00', 'Sun': '09:00-19:00'}",Brookfield Place,02 9262 5104,50058,2000,NSW,https://www.lululemon.com.au/en-au/store-locator
892 Military Road,Mosman,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-33.828184,151.244408,"{'Mon': '09:30-17:00', 'Tue': '09:30-17:00', 'Wed': '09:30-17:00', 'Thu': '09:30-17:00', 'Fri': '09:30-17:00', 'Sat': '09:30-17:00', 'Sun': '10:00-16:30'}",Mosman,(02) 9960 1238,50055,2088,NSW,https://www.lululemon.com.au/en-au/store-locator
Herring Rd & Waterloo Rd,North Ryde,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-33.7772,151.12412,"{'Mon': '09:30-18:00', 'Tue': '09:30-18:00', 'Wed': '09:30-18:00', 'Thu': '09:30-21:00', 'Fri': '09:30-18:00', 'Sat': '09:00-18:00', 'Sun': '10:00-18:00'}",Macquarie Centre,(02) 9888 6689,50109,2113,NSW,https://www.lululemon.com.au/en-au/store-locator
145 Old Pittwater Rd,Brookvale,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-33.768687,151.265614,"{'Mon': '09:00-17:30', 'Tue': '09:00-17:30', 'Wed': '09:00-17:30', 'Thu': '09:00-21:00', 'Fri': '09:00-17:30', 'Sat': '09:00-17:00', 'Sun': '10:00-17:00'}",Warringah,(02) 9907 4128,50051,2100,NSW,https://www.lululemon.com.au/en-au/store-locator
Westfield Kotara,Kotara,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-32.941652,151.711222,"{'Mon': '09:00-17:30', 'Tue': '09:00-17:30', 'Wed': '09:00-17:30', 'Thu': '09:00-21:00', 'Fri': '09:00-17:30', 'Sat': '09:00-17:00', 'Sun': '10:00-16:00'}",Kotara,02 4957 1068,50116,2289,NSW,https://www.lululemon.com.au/en-au/store-locator
Canberra Centre 148 Bunda Street,Canberra,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-35.280509,149.133172,"{'Mon': '09:00-17:30', 'Tue': '09:00-17:30', 'Wed': '09:00-17:30', 'Thu': '09:00-17:30', 'Fri': '09:00-21:00', 'Sat': '09:00-17:00', 'Sun': '10:00-16:00'}",Canberra,(02) 6230 0610,50089,2608,ACT,https://www.lululemon.com.au/en-au/store-locator
Pitt St & Market St,Sydney,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-33.869755,151.208608,"{'Mon': '09:30-19:00', 'Tue': '09:30-19:00', 'Wed': '09:30-19:00', 'Thu': '09:30-21:00', 'Fri': '09:30-19:00', 'Sat': '09:30-19:00', 'Sun': '10:00-19:00'}",Westfield Sydney City,(02) 9221 9846,50110,2000,NSW,https://www.lululemon.com.au/en-au/store-locator
301 George St,Sydney,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-33.865725,151.207014,"{'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-19:00', 'Sun': '09:00-19:00'}",Brookfield Place,02 9262 5104,50058,2000,NSW,https://www.lululemon.com.au/en-au/store-locator
500 Oxford St,Bondi Junction,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-33.891669,151.25027,"{'Mon': '09:30-18:00', 'Tue': '09:30-18:00', 'Wed': '09:30-18:00', 'Thu': '09:30-21:00', 'Fri': '09:30-19:00', 'Sat': '09:30-18:00', 'Sun': '10:00-18:00'}",Bondi Junction,(02) 9388 9893,50071,2022,NSW,https://www.lululemon.com.au/en-au/store-locator
The Mill,Alexandria,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-33.911541,151.194007,"{'Mon': '09:00-17:00', 'Tue': '09:00-17:00', 'Wed': '09:00-17:00', 'Thu': '09:00-17:00', 'Fri': '09:00-17:00', 'Sat': '09:00-17:00', 'Sun': '09:00-17:00'}",Alexandria Outlet,(02) 9310 5661,50596,2015,NSW,https://www.lululemon.com.au/en-au/store-locator
892 Military Road,Mosman,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-33.828184,151.244408,"{'Mon': '09:30-17:00', 'Tue': '09:30-17:00', 'Wed': '09:30-17:00', 'Thu': '09:30-17:00', 'Fri': '09:30-17:00', 'Sat': '09:30-17:00', 'Sun': '10:00-16:30'}",Mosman,(02) 9960 1238,50055,2088,NSW,https://www.lululemon.com.au/en-au/store-locator
145 Old Pittwater Rd,Brookvale,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-33.768687,151.265614,"{'Mon': '09:00-17:30', 'Tue': '09:00-17:30', 'Wed': '09:00-17:30', 'Thu': '09:00-21:00', 'Fri': '09:00-17:30', 'Sat': '09:00-17:00', 'Sun': '10:00-17:00'}",Warringah,(02) 9907 4128,50051,2100,NSW,https://www.lululemon.com.au/en-au/store-locator
Herring Rd & Waterloo Rd,North Ryde,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-33.7772,151.12412,"{'Mon': '09:30-18:00', 'Tue': '09:30-18:00', 'Wed': '09:30-18:00', 'Thu': '09:30-21:00', 'Fri': '09:30-18:00', 'Sat': '09:00-18:00', 'Sun': '10:00-18:00'}",Macquarie Centre,(02) 9888 6689,50109,2113,NSW,https://www.lululemon.com.au/en-au/store-locator
600 Kingsway,Miranda,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-34.035467,151.100631,"{'Mon': '09:30-18:00', 'Tue': '09:30-18:00', 'Wed': '09:30-18:00', 'Thu': '09:30-21:00', 'Fri': '09:30-18:00', 'Sat': '09:00-18:00', 'Sun': '10:00-18:00'}",Miranda,(02) 9524 8743,50113,2228,NSW,https://www.lululemon.com.au/en-au/store-locator
Westfield Kotara,Kotara,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-32.941652,151.711222,"{'Mon': '09:00-17:30', 'Tue': '09:00-17:30', 'Wed': '09:00-17:30', 'Thu': '09:00-21:00', 'Fri': '09:00-17:30', 'Sat': '09:00-17:00', 'Sun': '10:00-16:00'}",Kotara,02 4957 1068,50116,2289,NSW,https://www.lululemon.com.au/en-au/store-locator
Canberra Centre 148 Bunda Street,Canberra,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-35.280509,149.133172,"{'Mon': '09:00-17:30', 'Tue': '09:00-17:30', 'Wed': '09:00-17:30', 'Thu': '09:00-17:30', 'Fri': '09:00-21:00', 'Sat': '09:00-17:00', 'Sun': '10:00-16:00'}",Canberra,(02) 6230 0610,50089,2608,ACT,https://www.lululemon.com.au/en-au/store-locator
