addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
Supermarket | Αμύρου 8,Sklavenitis,Αγιά,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",39.7191,22.75468,Sklavenitis Αγιά,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",249 402 3799,400 03,1004,Λάρισας,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Σωκράτους 48-50 & Υπαπαντής,Sklavenitis,Δραπετσώνα,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",37.95038,23.63009,Sklavenitis Δραπετσώνα,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","210 463 4810, ",186 48,816,Αττικής,https://www.sklavenitis.gr/about/katastimata
"Supermarket  |  Πατρ. Χρυσάνθου Α' & Νικ. Γκάτσου, Ο.Τ. 325 (περιοχή Σμαρέκα Δ.)",Sklavenitis,Έδεσσα,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",40.80535,22.03731,Sklavenitis Έδεσσα,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","238 102 5622, ",582 00,673,Πέλλας,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  1ης Μεραρχίας,Sklavenitis,Ελασσόνα,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",39.88911,22.19386,Sklavenitis Ελασσόνα,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",249 302 5586,402 00,789,Λάρισας,https://www.sklavenitis.gr/about/katastimata
Supermarket +  | Μοναστηρίου & Κων/νου Καραμανλή,Sklavenitis,Ελευθέριο-Κορδελιό,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",40.66397,22.89592,Sklavenitis Ελευθέριο-Κορδελιό,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","231 077 5531, ",563 34,698,Θεσσαλονίκης,https://www.sklavenitis.gr/about/katastimata
Supermarket +  |  Δήμητρος 26 & Αρη Βελουχιώτη,Sklavenitis,Ελευσίνα,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",38.04642,23.54045,Sklavenitis Ελευσίνα,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","210 554 8342, ",192 00,884,Αττικής,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Ηρώων Πολυτεχνείου & Παγκάλου,Sklavenitis,Ελευσίνα,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",38.04345,23.54108,Sklavenitis Ελευσίνα,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","210 556 2116, ",192 00,683,Αττικής,https://www.sklavenitis.gr/about/katastimata
"Freshmarket  |  Τύχης 27, Μ. Γερουλάνου 132 & Αβέρωφ",Sklavenitis,Ελληνικό,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",37.89919,23.75019,Sklavenitis Ελληνικό,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",210 964 3373,167 77,633,Αττικής,https://www.sklavenitis.gr/about/katastimata
Freshmarket  |  Βλαχάκη 44,Sklavenitis,Ελληνορώσων,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",37.99668,23.77485,Sklavenitis Ελληνορώσων,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",210 671 0130,115 25,893,Αττικής,https://www.sklavenitis.gr/about/katastimata
Freshmarket  |  Χαρ. Τρικούπη 111-113,Sklavenitis,Εξάρχεια,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",37.98658,23.74034,Sklavenitis Εξάρχεια,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","210 384 2805, ",114 73,831,Αττικής,https://www.sklavenitis.gr/about/katastimata
Hypermarket  |  Περιφ. Οδός Νέας Ευκαρπίας – Θεσσαλονίκης,Sklavenitis,Ευκαρπία,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",40.67939,22.95701,Sklavenitis Ευκαρπία,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",231 069 1300,564 29,555,Θεσσαλονίκης,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Γρ. Λαμπράκη & Εθν. Αντιστάσεως,Sklavenitis,Εύοσμος,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",40.67439,22.91795,Sklavenitis Εύοσμος,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","231 058 7420, ",562 24,684,Θεσσαλονίκης,https://www.sklavenitis.gr/about/katastimata
"Supermarket  |  Παπαφλέσσα, Παν. Γρηγορούσης & Τζαβέλλα",Sklavenitis,Ζεφύρι,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",38.06621,23.71482,Sklavenitis Ζεφύρι,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","210 238 9490, ",134 51,731,Αττικής,https://www.sklavenitis.gr/about/katastimata
Freshmarket  |  Γ. Παπανδρέου 52-54,Sklavenitis,Ζωγράφου,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",37.98077,23.76771,Sklavenitis Ζωγράφου,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",210 775 4604,157 73,885,Αττικής,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Ούλωφ  Πάλμε 24,Sklavenitis,Ζωγράφου,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",37.97682,23.76174,Sklavenitis Ζωγράφου,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","210 775 0712, ",157 71,914,Αττικής,https://www.sklavenitis.gr/about/katastimata
Self-service  |  Γρ. Αυξεντίου 190,Sklavenitis,Ζωγράφου,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",37.97113,23.77529,Sklavenitis Ζωγράφου,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",210 771 2676,157 72,934,Αττικής,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  3ο χλμ. Ε.Ο. Ηγουμενίτσας–Ιωαννίνων,Sklavenitis,Ηγουμενίτσα,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",39.52982,20.26617,Sklavenitis Ηγουμενίτσα,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",266 502 9041,461 00,630,Θεσπρωτίας,https://www.sklavenitis.gr/about/katastimata
Freshmarket  |  Κυπρίων Ηρώων 77 & Πραξιτέλους,Sklavenitis,Ηλιούπολη,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",37.92006,23.75076,Sklavenitis Ηλιούπολη,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",210 995 9402,163 41,969,Αττικής,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Μαρ. Αντύπα 36 & Αστυδάμαντος,Sklavenitis,Ηλιούπολη,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",37.94278,23.74884,Sklavenitis Ηλιούπολη,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",210 976 6801,163 46,843,Αττικής,https://www.sklavenitis.gr/about/katastimata
"Hypermarket  |  Α. Παπανδρέου 22,  Γάζι–Αμμουδαρά",Sklavenitis,Ηράκλειο,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",35.3341,25.09499,Sklavenitis Ηράκλειο,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",281 037 7800,714 14,557,Ηρακλείου,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Ιερολοχιτών & Σμπώκου,Sklavenitis,Ηράκλειο,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",35.32698,25.13004,Sklavenitis Ηράκλειο,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",281 023 9009,713 05,602,Ηρακλείου,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Μελίνας Μερκούρη 17,Sklavenitis,Ηράκλειο,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",35.32896,25.12755,Sklavenitis Ηράκλειο,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","281 031 8426, ",713 05,603,Ηρακλείου,https://www.sklavenitis.gr/about/katastimata
Supermarket +  |  Λεωφ. Κνωσού 86 & Αλεξάνδρειας,Sklavenitis,Ηράκλειο,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",35.32613,25.13854,Sklavenitis Ηράκλειο,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","281 032 5570, ",713 06,613,Ηρακλείου,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Μίνωος 65 & Μιχ. Αρχαγγέλου – Θέρισσος,Sklavenitis,Ηράκλειο,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",35.33519,25.12061,Sklavenitis Ηράκλειο,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","281 031 2961, ",713 04,604,Ηρακλείου,https://www.sklavenitis.gr/about/katastimata
Supermarket +  |  Λεωφ. Ικάρου & Λεωφ. Καζαντζίδη,Sklavenitis,Ηράκλειο,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",35.33881,25.15532,Sklavenitis Ηράκλειο,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","281 034 1631, ",716 01,664,Ηρακλείου,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Βασιλική Ταβάκη 25 & Τσαλδάρη,Sklavenitis,Θέρμη,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",40.54602,23.01921,Sklavenitis Θέρμη,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","231 048 7590, ",570 01,756,Θεσσαλονίκης,https://www.sklavenitis.gr/about/katastimata
Self-service  |  Παπαδάκη 20,Sklavenitis,Θεσσαλονίκη,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",40.59589,22.96033,Sklavenitis Θεσσαλονίκη,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",231 032 7710,542 48,977,Θεσσαλονίκης,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Μεγ. Αλεξάνδρου 3Α,Sklavenitis,Θεσσαλονίκη,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",40.59368,23.01091,Sklavenitis Θεσσαλονίκη,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","231 033 2672, ",552 36,800,Θεσσαλονίκης,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Λεωφ. Αναγεννήσεως 156,Sklavenitis,Θεσσαλονίκη,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",40.68228,22.93038,Sklavenitis Θεσσαλονίκη,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","231 068 8403, ",562 24,722,Θεσσαλονίκης,https://www.sklavenitis.gr/about/katastimata
Freshmarket  |  Δελφών 75 & Ορέστου,Sklavenitis,Θεσσαλονίκη,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",40.60948,22.95752,Sklavenitis Θεσσαλονίκη,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","231 084 0546, ",546 42,744,Θεσσαλονίκης,https://www.sklavenitis.gr/about/katastimata
Hypermarket  |  Γιαννιτσών & Κωλέττη,Sklavenitis,Θεσσαλονίκη,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",40.64739,22.9202,Sklavenitis Θεσσαλονίκη,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",231 054 9500,546 27,568,Θεσσαλονίκης,https://www.sklavenitis.gr/about/katastimata
Supermarket +  |  Λαγκαδά 11,Sklavenitis,Θεσσαλονίκη,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",40.64226,22.93525,Sklavenitis Θεσσαλονίκη,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",231 053 2828,546 29,590,Θεσσαλονίκης,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Βασ. Όλγας 9 – Φάληρο,Sklavenitis,Θεσσαλονίκη,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",40.61689,22.95463,Sklavenitis Θεσσαλονίκη,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",231 082 8787,546 40,591,Θεσσαλονίκης,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Κωνσταντινουπόλεως 55 & Ψαρρών,Sklavenitis,Θεσσαλονίκη,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",40.61082,22.96184,Sklavenitis Θεσσαλονίκη,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",231 086 5036,546 42,601,Θεσσαλονίκης,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Πανταζίδου 4 & Μανδηλαρά,Sklavenitis,Θεσσαλονίκη,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",40.61191,22.98252,Sklavenitis Θεσσαλονίκη,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","231 090 8816, ",543 52,636,Θεσσαλονίκης,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Αγίου Δημητρίου 156,Sklavenitis,Θεσσαλονίκη,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",40.6356,22.95354,Sklavenitis Θεσσαλονίκη,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","231 096 0978, ",546 35,801,Θεσσαλονίκης,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Δελφών 19 & Ιλιάδος 3,Sklavenitis,Θεσσαλονίκη,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",40.61539,22.95817,Sklavenitis Θεσσαλονίκη,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",231 081 0108,546 41,975,Θεσσαλονίκης,https://www.sklavenitis.gr/about/katastimata
Freshmarket  |  Βασ. Όλγας 164,Sklavenitis,Θεσσαλονίκη,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",40.59881,22.95507,Sklavenitis Θεσσαλονίκη,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","231 041 5314, ",546 46,691,Θεσσαλονίκης,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Αλεξ. Σβώλου 33 & Δ. Γούναρη,Sklavenitis,Θεσσαλονίκη,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",40.63087,22.95049,Sklavenitis Θεσσαλονίκη,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",231 025 0361,546 22,692,Θεσσαλονίκης,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Θεοδ. Νάτσινα 52 – Χαριλάου,Sklavenitis,Θεσσαλονίκη,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",40.60409,22.96791,Sklavenitis Θεσσαλονίκη,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",231 030 2831,542 49,594,Θεσσαλονίκης,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Πινδάρου 108,Sklavenitis,Θήβα,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",38.32305,23.31795,Sklavenitis Θήβα,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","226 202 1942, ",322 00,776,Βοιωτίας,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Αυλίδος 72,Sklavenitis,Θήβα,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",38.3278,23.32897,Sklavenitis Θήβα,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",226 208 0425,322 00,777,Βοιωτίας,https://www.sklavenitis.gr/about/katastimata
Self-service  |  Επαμεινώνδα 63,Sklavenitis,Θήβα,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",38.31882,23.31709,Sklavenitis Θήβα,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",226 208 0566,322 00,956,Βοιωτίας,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Κύπρου 21,Sklavenitis,Ιεράπετρα,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",35.00869,25.73518,Sklavenitis Ιεράπετρα,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","284 202 5817, ",722 00,718,Λασιθίου,https://www.sklavenitis.gr/about/katastimata
