addr_full,city,country,brand,extras,lat,lon,opening_times,name,phone,postcode,ref,state,website
Schweinauer Hauptstraße 127 90441 Nürnberg,Nürnberg,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",49.4267565,11.0421750,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': ''}}","Mix Markt, Nürnberg-Schweinau",Phone: 0911 6249844,,71,,https://www.mixmarkt.eu/en/germany/stores/76/
Wettersteinstr.39 90471 Nürnberg,Nürnberg,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",49.411538,11.120736,,"Mix Markt, Nürnberg-Langwasser",Phone: 0911 80099479,,1009,,https://www.mixmarkt.eu/en/germany/stores/178/
Neulichtenhofstr.16 90461 Nürnberg,Nürnberg,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",49.4301276,11.0877200,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '', 'Sun': ''}}","Mix Markt, Nürnberg-Hummelstein",Phone: 0911 99446248,,97,,https://www.mixmarkt.eu/en/germany/stores/108/
Schnieglinger Str. 45 90419 Nürnberg,Nürnberg,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",49.4570619,11.0345596,"{'opening_hours': {'Mon': '', 'Tue': '', 'Wed': '', 'Thu': '', 'Fri': '', 'Sat': '', 'Sun': ''}}","Mix Markt, Nürnberg",Phone: 0911 35063937,,70,,https://www.mixmarkt.eu/en/germany/stores/180/
Westfalenstr. 13 48529 Nordhorn,Nordhorn,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",52.4148300,7.0774700,"{'opening_hours': {'Mon': '09:00-19:00', 'Tue': '09:00-19:00', 'Wed': '09:00-19:00', 'Thu': '09:00-19:00', 'Fri': '09:00-19:00', 'Sat': '', 'Sun': ''}}","Mix Markt, Nordhorn",Phone: 05921 7272952,,665,,https://www.mixmarkt.eu/en/germany/stores/146/
Ulzburger Straße 398 22846 Norderstedt,Norderstedt,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",53.722681,9.99836,"{'opening_hours': {'Mon': '', 'Tue': '', 'Wed': '', 'Thu': '', 'Fri': '', 'Sat': '', 'Sun': ''}}","Mix Markt, Norderstedt",Phone: 040 28056098,,994,,https://www.mixmarkt.eu/en/germany/stores/210/
Königsberger Straße 1 56564 Neuwied,Neuwied,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",50.4341800,7.4874300,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': ''}}","Mix Markt, Neuwied",Phone: 02631 824209,,26,,https://www.mixmarkt.eu/en/germany/stores/28/
Bayernplatz 7 67433 Neustadt an der Weinstraße,Neustadt an der Weinstraße,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",49.3591500,8.1565400,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': ''}}","Mix Markt, Neustadt an der Weinstraße",Phone: 06321 5789607,,110,,https://www.mixmarkt.eu/en/germany/stores/124/
Neusser Weyhe 74 41462 Neuss,Neuss,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",51.2157445,6.6767372,"{'opening_hours': {'Mon': '09:00-19:00', 'Tue': '09:00-19:00', 'Wed': '09:00-19:00', 'Thu': '09:00-19:00', 'Fri': '09:00-19:00', 'Sat': '', 'Sun': ''}}","Mix Markt, Neuss",Phone: 02131 2981787,,48,,https://www.mixmarkt.eu/en/germany/stores/50/
Untere Bliesstr. 61B 66539 Neunkirchen,Neunkirchen,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",49.3522318,7.219583,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': ''}}","Mix Markt, Neunkirchen",Phone: 06821 7902464,,946,,https://www.mixmarkt.eu/en/germany/stores/198/
Kieler Straße 221 24536 Neumünster,Neumünster,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",54.0912000,9.9854100,"{'opening_hours': {'Mon': '09:00-19:00', 'Tue': '09:00-19:00', 'Wed': '09:00-19:00', 'Thu': '09:00-19:00', 'Fri': '09:00-19:00', 'Sat': '', 'Sun': ''}}","Mix Markt, Neumünster",Phone: 04321 4896939,,59,,https://www.mixmarkt.eu/en/germany/stores/63/
Müllheimer Str.34 79395 Neuenburg am Rhein,Neuenburg am Rhein,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",47.8118500,7.5684200,"{'opening_hours': {'Mon': '', 'Tue': '', 'Wed': '', 'Thu': '', 'Fri': '', 'Sat': '', 'Sun': ''}}","Mix Markt, Neuenburg am Rhein",Phone: 07631 175993,,103,,https://www.mixmarkt.eu/en/germany/stores/114/
Amorbacher Str. 30 74172 Neckarsulm,Neckarsulm,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",49.211324,9.249868,,"Mix Markt, Neckarsulm",Phone: 07132 3410836,,33,,https://www.mixmarkt.eu/en/germany/stores/35/
Leonhardstr.21 72202 Nagold,Nagold,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",48.5516313,8.7268215,"{'opening_hours': {'Mon': '', 'Tue': '', 'Wed': '', 'Thu': '', 'Fri': '', 'Sat': '', 'Sun': ''}}","Mix Markt, Nagold",Phone: 07452 810791,,31,,https://www.mixmarkt.eu/en/germany/stores/33/
Isoldenstr. 60 80804 München,München,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",48.1753718,11.5826078,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': ''}}","Mix Markt, München",Phone:,,316,,https://www.mixmarkt.eu/en/germany/stores/125/
Eisenbahnstr.2-8 72116  Mössingen,Mössingen,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",48.4064042,9.0461381,,"Mix Markt, Mössingen",Phone: 07473 9218350,,278,,https://www.mixmarkt.eu/en/germany/stores/117/
Mittelstr.21 41236 Mönchengladbach,Mönchengladbach,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",51.1707500,6.4572900,"{'opening_hours': {'Mon': '09:00-19:00', 'Tue': '09:00-19:00', 'Wed': '09:00-19:00', 'Thu': '09:00-19:00', 'Fri': '09:00-19:00', 'Sat': '', 'Sun': ''}}","Mix Markt, Mönchengladbach",Phone: 02166 130513,,45,,https://www.mixmarkt.eu/en/germany/stores/47/
Oderstraße 58a 47445 Moers,Moers,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",51.4836400,6.6274100,"{'opening_hours': {'Mon': '09:00-19:00', 'Tue': '09:00-19:00', 'Wed': '09:00-19:00', 'Thu': '09:00-19:00', 'Fri': '09:00-19:00', 'Sat': '09:00-19:00', 'Sun': ''}}","Mix Markt, Moers",Phone: 02841 9996353,,82,,https://www.mixmarkt.eu/en/germany/stores/89/
Rodenbecker Strasse 79 32427 Minden,Minden,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",52.2865472,8.8924917,"{'opening_hours': {'Mon': '09:00-19:00', 'Tue': '09:00-19:00', 'Wed': '09:00-19:00', 'Thu': '09:00-19:00', 'Fri': '09:00-19:00', 'Sat': '', 'Sun': ''}}","Mix Markt, Minden",Phone: 0571 3885501,,40,,https://www.mixmarkt.eu/en/germany/stores/42/
Mönchstr. 3a 34431 Marsberg,Marsberg,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",51.46226,8.8511013,"{'opening_hours': {'Mon': '09:00-19:00', 'Tue': '09:00-19:00', 'Wed': '09:00-19:00', 'Thu': '09:00-19:00', 'Fri': '09:00-19:00', 'Sat': '', 'Sun': ''}}","Mix Markt, Marsberg",Phone: 02992 9748857,,714,,https://www.mixmarkt.eu/en/germany/stores/168/
Friedrich-Ebert-Str. 27  35039 Marburg,Marburg,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",50.7881630,8.7704845,"{'opening_hours': {'Mon': '09:00-19:00', 'Tue': '09:00-19:00', 'Wed': '09:00-19:00', 'Thu': '09:00-19:00', 'Fri': '09:00-19:00', 'Sat': '', 'Sun': ''}}","Mix Markt, Marburg",Phone: 06421 1836064,,294,,https://www.mixmarkt.eu/en/germany/stores/130/
Konzstraße 25 68169 Mannheim,Mannheim,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",49.5118302,8.4700277,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': ''}}","Mix Markt, Mannheim",Phone: 0621 3214151,,17,,https://www.mixmarkt.eu/en/germany/stores/17/
Schmidtstr. 57-59 39124 Magdeburg,Magdeburg,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",52.155294,11.640694,,"Mix Markt, Magdeburg",Phone: 0391 50695441,,338,,https://www.mixmarkt.eu/en/germany/stores/135/
Schützenstr. 4a 58511 Lüdenscheid,Lüdenscheid,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",51.2123306,7.6442711,"{'opening_hours': {'Mon': '08:00-20:00', 'Tue': '08:00-20:00', 'Wed': '08:00-20:00', 'Thu': '08:00-20:00', 'Fri': '08:00-20:00', 'Sat': '', 'Sun': ''}}","Mix Markt, Lüdenscheid",Phone: 02351 677377,,687,,https://www.mixmarkt.eu/en/germany/stores/159/
Moislinger Allee 81 23558 Lübeck,Lübeck,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",53.8533900,10.6627000,"{'opening_hours': {'Mon': '09:00-19:00', 'Tue': '09:00-19:00', 'Wed': '09:00-19:00', 'Thu': '09:00-19:00', 'Fri': '09:00-19:00', 'Sat': '', 'Sun': ''}}","Mix Markt, Lübeck",Phone: 0451 4798945,,88,,https://www.mixmarkt.eu/en/germany/stores/96/
Südstraße 26-28 59557 Lippstadt,Lippstadt,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",51.6618721,8.3516864,"{'opening_hours': {'Mon': '09:00-19:00', 'Tue': '09:00-19:00', 'Wed': '09:00-19:00', 'Thu': '09:00-19:00', 'Fri': '09:00-19:00', 'Sat': '', 'Sun': ''}}","Mix Markt, Lippstadt",Phone: 02941 923036,,20,,https://www.mixmarkt.eu/en/germany/stores/20/
Heisfelder Straße 83 26789 Leer,Leer,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",53.2344300,7.4525100,"{'opening_hours': {'Mon': '', 'Tue': '', 'Wed': '', 'Thu': '', 'Fri': '', 'Sat': '', 'Sun': ''}}","Mix Markt, Leer",Phone: 0491 97110720,,657,,https://www.mixmarkt.eu/en/germany/stores/134/
Zeppelinstr. 4  65549 Limburg,Limburg,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",50.3715880,8.0646170,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': ''}}","Mix Markt, Limburg-Blumenrod",Phone: 06431 479628,,16,,https://www.mixmarkt.eu/en/germany/stores/16/
Ferdinand-Porsche-Straße 6-8 69181 Leimen,Leimen,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",49.3433400,8.6787200,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': ''}}","Mix Markt, Leimen",Phone: 06224 148911,,53,,https://www.mixmarkt.eu/en/germany/stores/56/
Lange Weihe 65 30880 Laatzen,Laatzen,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",52.3051700,9.8225200,"{'opening_hours': {'Mon': '09:00-19:00', 'Tue': '09:00-19:00', 'Wed': '09:00-19:00', 'Thu': '09:00-19:00', 'Fri': '09:00-19:00', 'Sat': '', 'Sun': ''}}","Mix Markt, Laatzen",Phone: 0511 4756800,,108,,https://www.mixmarkt.eu/en/germany/stores/122/
Traarer Str. 26-30 47829 Krefeld,Krefeld,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",51.3556182,6.6406171,"{'opening_hours': {'Mon': '', 'Tue': '', 'Wed': '', 'Thu': '', 'Fri': '', 'Sat': '', 'Sun': ''}}","Mix Markt, Krefeld",Phone: 02151 6558200,,1084,,https://www.mixmarkt.eu/en/germany/stores/223/
Dülkener Straße 44-46 47804 Krefeld,Krefeld,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",51.3203700,6.5268700,"{'opening_hours': {'Mon': '08:00-20:00', 'Tue': '08:00-20:00', 'Wed': '08:00-20:00', 'Thu': '08:00-20:00', 'Fri': '08:00-20:00', 'Sat': '', 'Sun': ''}}","Mix Markt, Krefeld",Phone: 02151 7672521,,298,,https://www.mixmarkt.eu/en/germany/stores/133/
Konrad-Adenauer-Straße 40/42 51149 Köln,Köln,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",50.8956492,7.0633662,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '', 'Sun': ''}}","Mix Markt, Köln- Porz-Eil",Phone: 02203 1037834,,73,,https://www.mixmarkt.eu/en/germany/stores/79/
Piccoloministr. 523 51067 Köln,Köln,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",50.9733586,7.0519781,"{'opening_hours': {'Mon': '', 'Tue': '', 'Wed': '', 'Thu': '', 'Fri': '', 'Sat': '', 'Sun': ''}}","Mix Markt, Köln",Phone: 0221 62092640,,671,,https://www.mixmarkt.eu/en/germany/stores/155/
Henriette-Sontag-Str.4 56070 Koblenz,Koblenz,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",50.3700900,7.5970700,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '', 'Sun': ''}}","Mix Markt, Koblenz",Phone: 0261 98279889,,89,,https://www.mixmarkt.eu/en/germany/stores/97/
Jütlandring 22 24109 Kiel,Kiel,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",54.3142300,10.0502700,"{'opening_hours': {'Mon': '09:00-19:00', 'Tue': '09:00-19:00', 'Wed': '09:00-19:00', 'Thu': '09:00-19:00', 'Fri': '09:00-19:00', 'Sat': '', 'Sun': ''}}","Mix Markt, Kiel",Phone: 0431 99079908,,107,,https://www.mixmarkt.eu/en/germany/stores/119/
Schwalbenweg 71 87439 Kempten,Kempten,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",47.7375000,10.2898900,"{'opening_hours': {'Mon': '', 'Tue': '', 'Wed': '', 'Thu': '', 'Fri': '', 'Sat': '', 'Sun': ''}}","Mix Markt, Kempten",Phone: 0831 51278-05,,7,,https://www.mixmarkt.eu/en/germany/stores/7/
Heinrich-Plett-Str. 55-57 34132 Kassel,Kassel,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",0.00,,"{'opening_hours': {'Mon': '09:00-19:00', 'Tue': '09:00-19:00', 'Wed': '09:00-19:00', 'Thu': '09:00-19:00', 'Fri': '09:00-19:00', 'Sat': '', 'Sun': ''}}","Mix Markt, Kassel",Phone: 0561 4003510,,1083,,https://www.mixmarkt.eu/en/germany/stores/225/
Holländische Straße 41-43 34127 Kassel,Kassel,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",51.3235528,9.5007851,"{'opening_hours': {'Mon': '09:00-19:00', 'Tue': '09:00-19:00', 'Wed': '09:00-19:00', 'Thu': '09:00-19:00', 'Fri': '09:00-19:00', 'Sat': '', 'Sun': ''}}","Mix Markt, Kassel",Phone: 0561 4754917,,30,,https://www.mixmarkt.eu/en/germany/stores/32/
Otto-Wels-Str. 29 76189 Karlsruhe,Karlsruhe,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",48.9861500,8.3627900,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': ''}}","Mix Markt, Karlsruhe",Phone: 0721 1832649,,62,,https://www.mixmarkt.eu/en/germany/stores/66/
Am Sandfeld 1 76149 Karlsruhe,Karlsruhe,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",49.0443094,8.3890913,,"Mix Markt, Karlsruhe",Phone: 0721 78195193,,6,,https://www.mixmarkt.eu/en/germany/stores/6/
Königsberger Str. 2a 59174 Kamen,Kamen,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",51.5967048,7.6694641,"{'opening_hours': {'Mon': '', 'Tue': '', 'Wed': '', 'Thu': '', 'Fri': '', 'Sat': '', 'Sun': ''}}","Mix Markt, Kamen",Phone: 02307 9104925,,773,,https://www.mixmarkt.eu/en/germany/stores/179/
Merkurstr.2 67663 Kaiserslautern,Kaiserslautern,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",49.4449500,7.7321400,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': ''}}","Mix Markt, Kaiserslautern",Phone: 0631 3502972,,76,,https://www.mixmarkt.eu/en/germany/stores/82/
Giesestr. 4 58636 Iserlohn,Iserlohn,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",51.3959278,7.6919262,"{'opening_hours': {'Mon': '', 'Tue': '', 'Wed': '', 'Thu': '', 'Fri': '', 'Sat': '', 'Sun': ''}}","Mix Markt, Iserlohn",Phone: 02371 1595117,,11,,https://www.mixmarkt.eu/en/germany/stores/11/
Theodor-Heuss-Str. 64 85055 Ingolstadt,Ingolstadt,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",48.7782275,11.4414024,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': ''}}","Mix Markt, Ingolstadt",Phone: 0841 3706562,,25,,https://www.mixmarkt.eu/en/germany/stores/26/
Tiefensteiner Str.197 55743 Idar,Idar,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",49.7359200,7.2829000,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': ''}}","Mix Markt, Idar-Oberstein",Phone: 06781 5626863,,77,,https://www.mixmarkt.eu/en/germany/stores/83/
Am Zweibrücker Tor 12 66424 Homburg,Homburg,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",49.319117,7.3363797,,"Mix Markt, Homburg",Phone: 06841 7575693,,736,,https://www.mixmarkt.eu/en/germany/stores/129/
Heiligengrabstraße 27 95028 Hof,Hof,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",50.3228600,11.9237500,"{'opening_hours': {'Mon': '09:00-19:00', 'Tue': '09:00-19:00', 'Wed': '09:00-19:00', 'Thu': '09:00-19:00', 'Fri': '09:00-19:00', 'Sat': '', 'Sun': ''}}","Mix Markt, Hof",Phone: 09281 8339317,,64,,https://www.mixmarkt.eu/en/germany/stores/68/
Drispenstedter Str. 6 31135 Hildesheim,Hildesheim,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",52.1627200,9.9640800,"{'opening_hours': {'Mon': '09:00-19:00', 'Tue': '09:00-19:00', 'Wed': '09:00-19:00', 'Thu': '09:00-19:00', 'Fri': '09:00-19:00', 'Sat': '', 'Sun': ''}}","Mix Markt, Hildesheim",Phone: 05121 2061040,,36,,https://www.mixmarkt.eu/en/germany/stores/38/
Roonstr. 23a 44629 Herne,Herne,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",51.5506665,7.2209108,,"Mix Markt, Herne",Phone: 02323 9467953,,1027,,https://www.mixmarkt.eu/en/germany/stores/199/
Magdeburger Str.23 32049 Herford,Herford,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",52.1357400,8.6953500,"{'opening_hours': {'Mon': '09:00-19:00', 'Tue': '09:00-19:00', 'Wed': '09:00-19:00', 'Thu': '09:00-19:00', 'Fri': '09:00-19:00', 'Sat': '', 'Sun': ''}}","Mix Markt, Herford",Phone: 05221 7636794,,60,,https://www.mixmarkt.eu/en/germany/stores/64/
Sebastianusstraße 31 52525 Heinsberg,Heinsberg,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",51.040443,6.144147,,"Mix Markt, Heinsberg",Phone: 02452 1560417,,967,,https://www.mixmarkt.eu/en/germany/stores/194/
Sinsheimer Straße 7 - 11 74080 Heilbronn,Heilbronn,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",49.1456299,9.1822955,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': ''}}","Mix Markt, Heilbronn",Phone: 07131 5945885,,3,,https://www.mixmarkt.eu/en/germany/stores/3/
